x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
0.00000000000000000000000000000000000e+00,9.70040000000000013358203432289883494e-01,-9.70040000000000013358203432289883494e-01,0.00000000000000000000000000000000000e+00,-2.43090000000000000524025267623073887e-01,2.43090000000000000524025267623073887e-01,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,4.66200000000000003286260152890463360e-01,4.66200000000000003286260152890463360e-01,-9.32409999999999961062258080346509814e-01,4.32369999999999976569853288310696371e-01,4.32369999999999976569853288310696371e-01,-8.64729999999999998649968802055809647e-01,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
0.00000000000000000000000000000000000e+00,9.70044661972712515750924559750376958e-01,-9.70035337906045305220127087513860794e-01,-9.32406666721053079747223651609924928e-06,-2.43085676318142154674250875973749425e-01,2.43094323651474802578740827868762750e-01,-8.64733333264790448995189501334064929e-06,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,-0.00000000000000000000000000000000000e+00,4.66187875861005051728114232378097570e-01,4.66212124302154036554176703019370017e-01,-9.32410000163159042772028709963050779e-01,4.32373038201565921556289479345827413e-01,4.32366961592805215905954420621512378e-01,-8.64729999794371182972506125401756888e-01,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,-3.33066907387546962127089500427246094e-16,8.32919297478178995591715167719230856e-15,1.27167052722200812071874777846655986e-05
1.00000000000000002081668171172168513e-03,9.70510247250989950971272103451509804e-01,-9.69568515957314121927518699374295516e-01,-9.41731293675829043753404077214352651e-04,-2.42653155050610718892963631522214540e-01,2.43526535011078283806674136601100021e-01,-8.73379960467564913710505078885497082e-04,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,-0.00000000000000000000000000000000000e+00,4.64976286001909146422635354054742287e-01,4.67425378380313057196205206234329243e-01,-9.32411664382222158108578334854654625e-01,4.32675821676392373197796981344899149e-01,4.32062080701482433156376490050297370e-01,-8.64727902377874851864435696829613425e-01,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,2.10942374678779742680490016937255859e-15,8.58728809970610140914366677595126335e-13,1.28438716313838788669272653811831442e-03
2.00000000000000004163336342344337027e-03,9.70974621755413097245214367742701654e-01,-9.69100479938936271113074197974551965e-01,-1.87414181647682613214016976814968913e-03,-2.42220332023469326691446333226778826e-01,2.43958440457354526062658684704346698e-01,-1.73810843388519937121235147756785584e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,-0.00000000000000000000000000000000000e+00,4.63766328231740354413715858928336351e-01,4.68640263502313144379460078350820611e-01,-9.32416591734053453282913711844739961e-01,4.32976559110355774097994886588522632e-01,4.31755133239446820392562436366134155e-01,-8.64721692349802640000819548389073788e-01,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,3.88578058618804789148271083831787109e-15,1.71038471745209661078478578619524791e-12,2.55605721301576462118935580909146281e-03
3.00000000000000006245004513516505540e-03,9.71437787118302024575275230900053935e-01,-9.68631228220154368635193630775997677e-01,-2.80655889814765594008160012405619373e-03,-2.41787209277697175265533918677614346e-01,2.44390037918631236420579174042899309e-01,-2.60282864093406115504525536528497907e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,-0.00000000000000000000000000000000000e+00,4.62558003005997795861272775639297780e-01,4.69856779088301151784285893432312221e-01,-9.32424782094298902135296443637193192e-01,4.33275260621820734255909297207472161e-01,4.31446108998601563912426485708002923e-01,-8.64711369620422343678598008349892086e-01,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,7.77156117237609578296542167663574219e-15,2.56011761021518588407516867931939686e-12,3.82772645088940968349330509278747385e-03
4.00000000000000008326672684688674053e-03,9.71899744972411992231268798638856362e-01,-9.68160759170811752349378138974259825e-01,-3.73898580160023988189065966459647268e-03,-2.41353788844170007994103949850151750e-01,2.44821325313013225976051885391115035e-01,-3.46753646884321798194793554096326938e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,-0.00000000000000000000000000000000000e+00,4.61351310739610960612806329414987273e-01,4.71074924516635223903503356296324671e-01,-9.32436235256246139006047460276895136e-01,4.33571936299320849194643792538833485e-01,4.31134997741262288919080776805522802e-01,-8.64696934040583183623986794778772999e-01,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,1.14352971536391123663634061813354492e-14,3.41235063840315206422050011880983307e-12,5.09939447261396729288137723190740165e-03
5.00000000000000010408340855860842566e-03,9.72360496950893029113192677862206432e-01,-9.67689071161394424070878102995606334e-01,-4.67142578949860504231457486660016184e-03,-2.40920072743689973413761000844121778e-01,2.45252300548352854931056445315589668e-01,-4.33222780466288151729544447146788939e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,-0.00000000000000000000000000000000000e+00,4.60146251807239461446358383058749065e-01,4.72294699123578058657108461297233473e-01,-9.32450950930817474593204618921565440e-01,4.33866596201503103804837369580961565e-01,4.30821789200222693318897382130347376e-01,-8.64678385401725842633996977145725750e-01,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,1.83186799063150829169899225234985352e-14,4.26461526387926834745404575793838981e-12,6.37106087384878432414289769051463651e-03
6.00000000000000012490009027033011080e-03,9.72820044687249813167401235018475874e-01,-9.67216162563073298965496501446150583e-01,-5.60388212417651420190473357232529082e-03,-2.40486062987015538820434562059856787e-01,2.45682961522220544343067022221938520e-01,-5.19689853520500552263246016208171792e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,-0.00000000000000000000000000000000000e+00,4.58942826543571386935415044936313794e-01,4.73516102202988789095525838211134361e-01,-9.32468928746560130520678657713031250e-01,4.34159250357074211140629523588152847e-01,4.30506473078822246593441242410093525e-01,-8.64655723435896503244332991432663374e-01,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,2.50910403565285378135740756988525391e-14,5.11712815376227829780927439422360788e-12,7.64272524999302934924399810729957297e-03
7.00000000000000014571677198205179593e-03,9.73278389815301848454352320763953801e-01,-9.66742031747746763747543061212972058e-01,-6.53635806755508470680925955098174311e-03,-2.40051761574891456573515599967807163e-01,2.46113306121875356614792923119476889e-01,-6.06154454698390004127732315166972556e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,-0.00000000000000000000000000000000000e+00,4.57741035243620251306606541781497769e-01,4.74739133006013488053971677083227147e-01,-9.32490168249633693850315993430308010e-01,4.34449908764748865035831804726253010e-01,4.30189039051015975840153979855020191e-01,-8.64628947815764886386248010015690107e-01,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,3.48610029732299153693020343780517578e-14,5.96790921132810878842476285034326717e-12,8.91438719612081328774330229979740323e-03
8.00000000000000016653345369377348106e-03,9.73735533969143938463674710993393174e-01,-9.66266677088083545059979316001868606e-01,-7.46885688106039340369539499152463205e-03,-2.39617170498078781199220208175565351e-01,2.46543332224235646822801416890729592e-01,-6.92616172615686562358120871516424096e-03,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,-0.00000000000000000000000000000000000e+00,4.56540878163020538826469897128137723e-01,4.75963790740774299806739947389347578e-01,-9.32514668903794793122947619083068396e-01,4.34738581393199885546040937673474885e-01,4.29869476761446361212554357774685076e-01,-8.64598058154646292268857520882577155e-01,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,4.52970994047063868492841720581054688e-14,6.81953361556099322098996839680419119e-12,1.01860463069163120691417918786514255e-02
